car_name, model, km/l,  odometer, km, litres, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Geely Coolray","Geely Coolray",6.56,24095.0,138.001,21.024,60.45,,2025-02-09,2025-02-09 13:01:49,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.75,23957.0,123.002,21.399,59.35,,2025-02-02,2025-02-02 10:35:48,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,23834.0,155.994,22.989,62.5,,2025-01-26,2025-01-26 14:05:12,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.67,23678.0,116.002,20.468,61.3,,2025-01-20,2025-01-20 07:45:39,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,23562.0,191.995,28.296,60.5,,2025-01-12,2025-01-12 05:44:23,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.37,23370.0,234.996,28.088,59.5,,2025-01-03,2025-01-03 08:30:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.56,23135.0,223.007,29.488,59.05,,2024-12-28,2024-12-28 09:22:19,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.26,22912.0,116.999,18.692,59.3,,2024-12-23,2024-12-23 06:56:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.46,22795.0,100.005,18.299,60.5,,2024-12-16,2024-12-23 06:56:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.17,22695.0,106.007,20.513,60.5,,2024-12-11,2024-12-11 08:42:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.86,22589.0,125.996,21.49,59.2,,2024-12-02,2024-12-02 06:39:00,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.3,22463.0,169.995,23.28,58.05,,2024-11-25,2024-11-25 07:50:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.33,22293.0,133.994,21.183,57.35,,2024-11-17,2024-11-17 11:30:04,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.45,22159.0,211.001,28.319,56.2,,2024-11-10,2024-11-10 12:12:36,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.53,21948.0,166.004,25.427,57.25,,2024-11-03,2024-11-03 09:36:05,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.29,21782.0,80.998,15.301,57.3,,2024-10-27,2024-10-27 07:24:32,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.52,21701.0,157.008,24.094,57.8,,2024-10-21,2024-10-21 06:35:42,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.17,21544.0,189.999,23.265,57.5,,2024-10-13,2024-10-13 09:50:10,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.65,21354.0,153,23.012,57.55,,2024-10-07,2024-10-07 07:40:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.67,21201.0,73,12.874,56.5,,2024-09-29,2024-09-29 07:18:37,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.14,21128.0,163.992,26.721,56,,2024-09-23,2024-09-23 11:11:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.28,20964.0,192.993,26.517,56.4,,2024-09-15,2024-09-15 09:12:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.95,20771.0,189.999,31.949,58,,2024-09-07,2024-09-07 09:32:35,"","",0,0,,,""
"Geely Coolray","Geely Coolray",12.36,20581.0,415.999,33.649,60.4,,2024-08-31,2024-08-31 08:52:27,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.98,20165.0,175.998,19.59,60.55,,2024-08-18,2024-08-18 09:24:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.61,19989.0,84.008,12.708,59.44,,2024-08-15,2024-08-15 22:49:24,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.5,19905.0,197.998,26.396,60.7,,2024-08-11,2024-08-11 05:30:50,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.3,19707.0,138.999,22.058,63.55,,2024-08-04,2024-08-04 09:22:06,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.74,19568.0,184.994,27.44,69.95,,2024-07-29,2024-07-29 11:16:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.94,19383.0,118.995,20.021,64.2,,2024-07-21,2024-07-21 05:22:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.95,19264.0,118.995,17.11,64.7,,2024-07-14,2024-07-14 08:18:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.94,19145.0,190.997,27.531,63.1,,2024-07-07,2024-07-07 11:22:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.44,18954.0,162.994,21.906,62.65,,2024-06-30,2024-06-30 08:57:19,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.95,18791.0,153,25.729,60.55,,2024-06-23,2024-06-23 12:06:49,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.22,18638.0,135.008,16.425,60.404,,2024-06-17,2024-06-17 08:20:46,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.06,18503.0,204,28.909,60.2,,2024-06-09,2024-06-09 18:34:38,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.29,18299.0,184.994,29.39,61.1,,2024-06-01,2024-06-01 22:33:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.96,18114.0,186.008,23.371,61.5,,2024-05-26,2024-05-26 05:34:45,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.76,17928.0,143.006,21.145,63.95,,2024-05-19,2024-05-19 10:34:14,"","",0,0,,,""
"Geely Coolray","Geely Coolray",10.68,17785.0,284.001,26.589,61.6,,2024-05-15,2024-05-15 08:09:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.55,17501.0,116.999,17.86,64.25,,2024-05-10,2024-05-10 23:02:18,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.32,17384.0,138.999,21.982,64.35,,2024-05-06,2024-05-06 08:14:38,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,17245.0,182.999,26.948,64.35,,2024-04-30,2024-04-30 08:48:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.24,17062.0,167.999,23.212,66.4,,2024-04-21,2024-04-21 12:40:59,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.47,16894.0,190.997,22.538,66.1,,2024-04-14,2024-04-14 07:53:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.47,16703.0,184.994,28.603,65.1,,2024-04-09,2024-04-09 08:10:17,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.25,16518.0,116.999,16.13,64,,2024-04-02,2024-04-02 07:45:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.25,16401.0,155.994,24.961,64.55,,2024-03-27,2024-03-27 09:08:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.01,16245.0,129.005,21.478,62.25,,2024-03-17,2024-03-17 02:41:16,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.68,16116.0,106.007,15.868,61.85,,2024-03-10,2024-03-10 01:47:21,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.12,16010.0,100.005,16.342,62.25,,2024-03-03,2024-03-03 13:40:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.62,15910.0,88.997,13.434,62.85,,2024-02-25,2024-02-25 13:04:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.79,15821.0,208.008,26.706,63.55,,2024-02-18,2024-02-18 15:22:25,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.39,15613.0,124.998,19.552,64.1,,2024-02-08,2024-02-08 09:44:59,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.75,15488.0,77.007,13.4,60.6,,2024-01-28,2024-01-28 14:24:30,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.56,15411.0,71.004,15.581,59.25,,2024-01-22,2024-01-22 10:56:57,"","",0,0,,,""
"Geely Coolray","Geely Coolray",14.64,15340.0,65.001,4.44,58.8,,2024-01-14,2024-01-14 06:12:34,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.53,15275.0,163.992,29.67,62.15,,2024-01-08,2024-01-08 08:13:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.31,15111.0,233.999,28.148,60.65,,2023-12-31,2023-12-31 06:20:41,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.82,14877.0,146.997,30.499,60.2,,2023-12-24,2023-12-24 04:19:01,"","",0,0,,,""
"Geely Coolray","Geely Coolray",9.35,14730.0,183.996,19.669,60.65,,2023-12-14,2023-12-14 06:37:22,"","",0,0,,,""
"Geely Coolray","Geely Coolray",3.35,14546.0,101.002,30.177,61.95,,2023-12-03,2023-12-03 11:02:08,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.31,14445.0,102,19.226,64.2,,2023-11-26,2023-11-26 07:36:44,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.53,14343.0,67.995,12.295,64.95,,2023-11-20,2023-11-20 03:05:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.33,14275.0,129.005,20.381,62.95,,2023-11-12,2023-11-12 14:23:05,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.01,14146.0,182.001,25.979,63.4,,2023-11-05,2023-11-05 01:28:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.89,13964.0,74.995,15.335,65.65,,2023-10-29,2023-10-29 07:40:06,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.89,13889.0,145.002,21.043,63.55,,2023-10-22,2023-10-22 16:43:56,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.09,13744.0,150.007,24.62,64.15,,2023-10-15,2023-10-15 06:30:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.23,13594.0,108.003,20.653,67.2,,2023-10-08,2023-10-08 08:44:01,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.93,13486.0,122.004,20.57,69.55,,2023-10-01,2023-10-01 09:02:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.82,13364.0,114.006,16.72,69.75,,2023-09-24,2023-09-24 06:42:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.82,13250.0,180.005,23.015,68.09,,2023-09-16,2023-09-16 18:24:53,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.18,13070.0,165.006,20.169,67.79,,2023-09-15,2023-09-15 01:49:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.02,12905.0,138.999,27.702,68.2,,2023-09-09,2023-09-09 00:32:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.39,12766.0,138.001,21.588,67.7,,2023-09-03,2023-09-03 06:40:27,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.87,12628.0,102,14.846,70.45,,2023-08-27,2023-08-27 08:17:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.58,12526.0,101.002,15.35,66.3,50,2023-08-20,2023-08-20 10:14:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.16,12425.0,74.995,12.174,64.1,50,2023-08-13,2023-08-13 13:52:00,"","",0,0,,,""
